filename,date,file_exists,can_read,missing_base_cols,missing_cities,total_rows,complete_rows,error
china_cities_20180628.csv,2018-06-28,True,True,[],[],360,357,
china_cities_20180629.csv,2018-06-29,True,True,[],[],360,359,
china_cities_20180630.csv,2018-06-30,True,True,[],[],360,358,
china_cities_20180701.csv,2018-07-01,True,True,[],[],360,359,
china_cities_20180702.csv,2018-07-02,True,True,[],[],360,358,
china_cities_20180703.csv,2018-07-03,True,True,[],[],360,356,
china_cities_20180704.csv,2018-07-04,True,True,[],[],360,358,
china_cities_20180705.csv,2018-07-05,True,True,[],[],360,326,
china_cities_20180706.csv,2018-07-06,True,True,[],[],360,224,
china_cities_20180707.csv,2018-07-07,True,True,[],[],360,356,
china_cities_20180708.csv,2018-07-08,True,True,[],[],360,358,
china_cities_20180709.csv,2018-07-09,True,True,[],[],360,359,
china_cities_20180710.csv,2018-07-10,True,True,[],[],360,358,
china_cities_20180711.csv,2018-07-11,True,True,[],[],360,345,
china_cities_20180712.csv,2018-07-12,True,True,[],[],360,360,
china_cities_20180713.csv,2018-07-13,True,True,[],[],360,360,
china_cities_20180714.csv,2018-07-14,True,True,[],[],360,360,
china_cities_20180715.csv,2018-07-15,True,True,[],[],360,360,
china_cities_20180716.csv,2018-07-16,True,True,[],[],360,353,
china_cities_20180717.csv,2018-07-17,True,True,[],[],360,358,
china_cities_20180718.csv,2018-07-18,True,True,[],[],360,360,
china_cities_20180719.csv,2018-07-19,True,True,[],[],360,360,
china_cities_20180720.csv,2018-07-20,True,True,[],[],360,359,
china_cities_20180721.csv,2018-07-21,True,True,[],[],360,359,
china_cities_20180722.csv,2018-07-22,True,True,[],[],360,360,
china_cities_20180723.csv,2018-07-23,True,True,[],[],255,255,
china_cities_20180724.csv,2018-07-24,True,True,[],[],360,346,
china_cities_20180725.csv,2018-07-25,True,True,[],[],360,354,
china_cities_20180726.csv,2018-07-26,True,True,[],[],360,355,
china_cities_20180727.csv,2018-07-27,True,True,[],[],360,356,
china_cities_20180728.csv,2018-07-28,True,True,[],[],360,359,
china_cities_20180729.csv,2018-07-29,True,True,[],[],360,321,
china_cities_20180730.csv,2018-07-30,True,True,[],[],360,356,
china_cities_20180731.csv,2018-07-31,True,True,[],[],360,360,
china_cities_20180801.csv,2018-08-01,True,True,[],[],360,356,
china_cities_20180802.csv,2018-08-02,True,True,[],[],360,359,
china_cities_20180803.csv,2018-08-03,True,True,[],[],360,359,
china_cities_20180804.csv,2018-08-04,True,True,[],[],315,312,
china_cities_20180805.csv,2018-08-05,True,True,[],[],315,315,
china_cities_20180806.csv,2018-08-06,True,True,[],[],300,299,
china_cities_20180807.csv,2018-08-07,True,True,[],[],315,315,
china_cities_20180808.csv,2018-08-08,True,True,[],[],315,312,
china_cities_20180809.csv,2018-08-09,True,True,[],[],300,300,
china_cities_20180810.csv,2018-08-10,True,True,[],[],315,315,
china_cities_20180811.csv,2018-08-11,True,True,[],[],315,315,
china_cities_20180812.csv,2018-08-12,True,True,[],[],315,307,
china_cities_20180813.csv,2018-08-13,True,True,[],[],315,309,
china_cities_20180814.csv,2018-08-14,True,True,[],[],315,315,
china_cities_20180815.csv,2018-08-15,True,True,[],[],315,313,
china_cities_20180816.csv,2018-08-16,True,True,[],[],315,307,
china_cities_20180817.csv,2018-08-17,True,True,[],[],285,268,
china_cities_20180818.csv,2018-08-18,True,True,[],[],315,312,
china_cities_20180819.csv,2018-08-19,True,True,[],[],315,315,
china_cities_20180820.csv,2018-08-20,True,True,[],[],315,315,
china_cities_20180821.csv,2018-08-21,True,True,[],[],285,285,
china_cities_20180822.csv,2018-08-22,True,True,[],[],285,282,
china_cities_20180823.csv,2018-08-23,True,True,[],[],285,277,
china_cities_20180824.csv,2018-08-24,True,True,[],[],195,195,
china_cities_20180825.csv,2018-08-25,True,True,[],[],255,255,
china_cities_20180826.csv,2018-08-26,True,True,[],[],60,60,
china_cities_20180827.csv,2018-08-27,True,True,[],[],255,255,
china_cities_20180828.csv,2018-08-28,True,True,[],[],60,60,
china_cities_20180829.csv,2018-08-29,True,True,[],[],255,251,
china_cities_20180830.csv,2018-08-30,True,True,[],[],60,60,
china_cities_20180831.csv,2018-08-31,True,True,[],[],225,210,
china_cities_20180901.csv,2018-09-01,True,True,[],[],60,59,
china_cities_20180902.csv,2018-09-02,True,True,[],[],225,207,
china_cities_20180903.csv,2018-09-03,True,True,[],[],210,179,
china_cities_20180904.csv,2018-09-04,True,True,[],[],360,359,
china_cities_20180905.csv,2018-09-05,True,True,[],[],360,354,
china_cities_20180906.csv,2018-09-06,True,True,[],[],360,195,
china_cities_20180907.csv,2018-09-07,True,True,[],[],360,355,
china_cities_20180908.csv,2018-09-08,True,True,[],[],360,360,
china_cities_20180909.csv,2018-09-09,True,True,[],[],360,359,
china_cities_20180910.csv,2018-09-10,True,True,[],[],360,360,
