parameter,count,mean,std,min,25%,50%,75%,max
lsm_std,120.0,0.016846175526311645,2.844669158878723e-18,0.01684617552631164,0.01684617552631164,0.01684617552631164,0.016846175526311645,0.016846175526311645
lsm_min,120.0,0.9152251499999998,2.2297561364112263e-16,0.91522515,0.91522515,0.91522515,0.91522515,0.91522515
lsm_max,120.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lsm_median,120.0,0.9991062999999998,2.2297561364112263e-16,0.9991063,0.9991063,0.9991063,0.9991063,0.9991063
cvl_mean,120.0,0.6138246338518519,1.1148780682056131e-16,0.6138246338518518,0.6138246338518518,0.6138246338518518,0.6138246338518518,0.6138246338518518
cvl_std,120.0,0.3168820234748651,8.361585511542099e-17,0.316882023474865,0.316882023474865,0.31688202347486505,0.31688202347486505,0.31688202347486505
cvl_min,120.0,0.06078088299999998,2.0903963778855246e-17,0.060780883,0.060780883,0.060780883,0.060780883,0.060780883
cvl_max,120.0,0.9999547999999998,2.2297561364112263e-16,0.9999548,0.9999548,0.9999548,0.9999548,0.9999548
cvl_median,120.0,0.6778302000000002,1.1148780682056131e-16,0.6778302,0.6778302,0.6778302,0.6778302,0.6778302
avg_tprate_mean,120.0,1.925355518526442e-05,2.4662652932779057e-05,3.054213843528578e-08,2.2851816645134148e-06,8.983104000776419e-06,2.4226995693473396e-05,0.00011391207609425079
avg_tprate_std,120.0,5.4745016218322724e-05,5.966711850622933e-05,1.6540758490684413e-07,1.0995376212377327e-05,3.769445946814861e-05,7.262954501372368e-05,0.0002859489269119996
avg_tprate_min,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_tprate_max,120.0,0.00047484903669157735,0.0004671441854190848,1.9632739785276814e-06,0.00010505796950537964,0.00038176407048727133,0.0006345639258254735,0.002592693140477262
avg_tprate_median,120.0,1.144396915357245e-06,3.473074781898707e-06,0.0,0.0,0.0,2.7962672857590666e-07,2.6798542634937624e-05
mn2t_mean,120.0,9.797007681953737,10.88083459154634,-8.682813703039958,-0.12588530827454447,10.407209563476261,20.078982771776406,24.90103318730917
mn2t_std,120.0,4.748253476085021,0.9134578527680647,2.951778260821634,4.110883954504228,4.655068197819421,5.360625979285795,7.063874731338394
