parameter,count,mean,std,min,25%,50%,75%,max
mn2t_std,120.0,2.9984691073497136,0.9823192724202138,1.3164318799972534,2.2687596678733826,2.8463308811187744,3.5604549646377563,5.540294170379639
mn2t_min,120.0,3.6007792154947915,11.61786589872668,-19.987808227539062,-7.2895050048828125,4.0716705322265625,14.800727844238281,20.95831298828125
mn2t_max,120.0,15.447633616129558,10.508072703459684,-4.340850830078125,6.9707794189453125,17.899551391601562,25.331298828125,29.338043212890625
mn2t_median,120.0,9.899931081136067,10.893779357209574,-8.3460693359375,-0.44657135009765625,10.399459838867188,19.94055938720703,25.64215087890625
sd_mean,120.0,0.00019527066331486893,0.00045255494716202424,0.0,0.0,2.023410615947796e-05,0.0001629310609132517,0.002842874266207218
sd_std,120.0,0.00019150408299465718,0.0004001991194884216,0.0,0.0,2.036203022726113e-05,0.00020122291243751533,0.002770222956314683
sd_min,120.0,3.7040726037436875e-05,0.0001629445555475797,0.0,0.0,0.0,3.0270819593170017e-06,0.0014749662950634956
sd_max,120.0,0.0008107253115466525,0.0015734212188787823,0.0,0.0,0.00010911329445661977,0.0008127124601742253,0.009386156685650349
sd_median,120.0,0.00011961008531500284,0.0003353629677941559,0.0,0.0,1.5072862424858613e-07,7.082056072249543e-05,0.0022402722388505936
str_mean,120.0,-278820.36432291666,53282.281804795275,-368890.4375,-316864.8671875,-288749.34375,-256796.3046875,-143912.359375
str_std,120.0,68918.28209635416,15932.537501006536,31171.02734375,57162.8896484375,69172.0,80031.427734375,109172.6171875
str_min,120.0,-384886.733984375,42511.43826820474,-463747.0,-412868.625,-388094.453125,-358197.375,-251653.546875
str_max,120.0,-111752.46419270833,57936.59731604967,-260623.859375,-150794.4296875,-103242.4375,-64393.6640625,-20058.80859375
str_median,120.0,-289305.40859375,59179.74372477571,-393507.59375,-333092.2421875,-303749.6875,-257254.1171875,-132771.96875
sp_mean,120.0,95624.85611979167,676.0874274457333,94465.734375,94959.9296875,95673.359375,96280.287109375,96731.0703125
sp_std,120.0,437.1414058685303,115.18975836215692,220.74606323242188,346.9997863769531,429.7511749267578,512.3166961669922,760.7236938476562
sp_min,120.0,94718.3177734375,618.4764127619189,93485.1953125,94173.583984375,94610.51953125,95287.1015625,95920.7578125
sp_max,120.0,96475.08984375,821.4245168554988,95039.84375,95634.595703125,96618.98828125,97201.1796875,97849.75
sp_median,120.0,95628.89889322917,690.098092032737,94469.3984375,94921.443359375,95702.40625,96306.13671875,96789.0
tisr_mean,120.0,1180725.7473958333,412417.0817125418,572268.0,817613.140625,1207638.75,1551386.09375,1733341.625
tisr_std,120.0,56423.04317626953,27495.43434234509,6201.09521484375,39899.435546875,61805.5,79847.716796875,92794.296875
tisr_min,120.0,1086515.9098958333,414252.4711734975,561298.9375,703355.90625,1058324.25,1444906.59375,1716790.0
tisr_max,120.0,1274731.7552083333,400345.07481455413,602631.0625,943355.5,1351966.625,1641978.78125,1739811.0
tisr_median,120.0,1180775.8848958334,416487.6016470911,567481.0,814024.65625,1209026.5625,1555780.78125,1735873.625
tcwv_mean,120.0,15.38410978714625,11.646890097488829,2.548483371734619,5.359790802001953,11.700000762939453,24.42049264907837,42.71392059326172
tcwv_std,120.0,5.03968798071146,2.787576657004711,0.9246960282325745,2.663848340511322,4.871399641036987,6.785661101341248,13.558916091918945
tcwv_min,120.0,6.974428586661816,7.084079035296038,0.517558753490448,1.9109965860843658,3.8540855646133423,10.005847930908203,31.4906063079834
tcwv_max,120.0,26.672865263621013,16.118653008478304,4.693086624145508,12.885612487792969,23.042409896850586,38.93838024139404,62.287776947021484
tcwv_median,120.0,14.929672557115556,11.804388812880251,2.234452247619629,4.975237011909485,10.725669860839844,23.99873685836792,42.80220413208008
tp_mean,120.0,6.931446417226538e-05,8.878599309384316e-05,1.1060843974064483e-07,8.230083494709106e-06,3.234032374166418e-05,8.72184773470508e-05,0.0004100883088540286
tp_std,120.0,0.00013202327247346563,0.0001521346102843832,2.665783256361465e-07,2.4294102331623435e-05,8.755573799135163e-05,0.00017680611563264392,0.0007823145133443177
tp_min,120.0,7.677470890259571e-08,4.439460423438389e-07,0.0,0.0,0.0,0.0,4.011908004031284e-06
tp_max,120.0,0.0006021042147371721,0.0007011939993706611,1.0969216646117275e-06,0.00012908569442515727,0.0004172535991529003,0.0007332793902605772,0.003897816874086857
tp_median,120.0,1.582468672574842e-05,3.2391617553717455e-05,0.0,5.3748427042421554e-08,1.2598532634910953e-06,1.4563923969035386e-05,0.0001709304196992889
wind_speed_10m,120.0,0.7329596917107359,0.4015641364499699,0.05423464581725622,0.42836310046156545,0.6923271005524028,0.9934389151521638,1.8480542921971395
wind_speed_100m,120.0,1.243173643027124,0.6554521450711331,0.03693700008208666,0.7859185092507102,1.1833790729451306,1.643407732809942,3.172628027092828
